market_id,close,split
2729487,2026-06-30 11:45:00+00:00,train
2729489,2026-06-30 11:45:00+00:00,train
2729491,2026-06-30 11:45:00+00:00,train
2729495,2026-06-30 11:45:00+00:00,train
2729498,2026-06-30 11:45:00+00:00,train
2729612,2026-06-30 12:00:00+00:00,train
2729608,2026-06-30 12:00:00+00:00,train
2729611,2026-06-30 12:00:00+00:00,train
2729605,2026-06-30 12:00:00+00:00,train
2729607,2026-06-30 12:00:00+00:00,train
2729846,2026-06-30 12:15:00+00:00,train
2729854,2026-06-30 12:15:00+00:00,train
2729857,2026-06-30 12:15:00+00:00,train
2729858,2026-06-30 12:15:00+00:00,train
2729861,2026-06-30 12:15:00+00:00,train
2729893,2026-06-30 12:30:00+00:00,train
2729890,2026-06-30 12:30:00+00:00,train
2729882,2026-06-30 12:30:00+00:00,train
2729886,2026-06-30 12:30:00+00:00,train
2729889,2026-06-30 12:30:00+00:00,train
2729921,2026-06-30 12:45:00+00:00,train
2729922,2026-06-30 12:45:00+00:00,train
2729923,2026-06-30 12:45:00+00:00,train
2729926,2026-06-30 12:45:00+00:00,train
2729927,2026-06-30 12:45:00+00:00,train
2730031,2026-06-30 13:00:00+00:00,train
2730036,2026-06-30 13:00:00+00:00,train
2730039,2026-06-30 13:00:00+00:00,train
2730040,2026-06-30 13:00:00+00:00,train
2730042,2026-06-30 13:00:00+00:00,train
2730113,2026-06-30 13:15:00+00:00,train
2730110,2026-06-30 13:15:00+00:00,train
2730106,2026-06-30 13:15:00+00:00,train
2730108,2026-06-30 13:15:00+00:00,train
2730109,2026-06-30 13:15:00+00:00,train
2730141,2026-06-30 13:30:00+00:00,train
2730142,2026-06-30 13:30:00+00:00,train
2730145,2026-06-30 13:30:00+00:00,train
2730146,2026-06-30 13:30:00+00:00,train
2730153,2026-06-30 13:30:00+00:00,train
2730170,2026-06-30 13:45:00+00:00,train
2730172,2026-06-30 13:45:00+00:00,train
2730174,2026-06-30 13:45:00+00:00,train
2730178,2026-06-30 13:45:00+00:00,train
2730183,2026-06-30 13:45:00+00:00,train
2730359,2026-06-30 14:00:00+00:00,train
2730358,2026-06-30 14:00:00+00:00,train
2730354,2026-06-30 14:00:00+00:00,train
2730349,2026-06-30 14:00:00+00:00,train
2730351,2026-06-30 14:00:00+00:00,train
2730384,2026-06-30 14:15:00+00:00,train
2730387,2026-06-30 14:15:00+00:00,train
2730388,2026-06-30 14:15:00+00:00,train
2730389,2026-06-30 14:15:00+00:00,train
2730391,2026-06-30 14:15:00+00:00,train
2730544,2026-06-30 14:30:00+00:00,train
2730548,2026-06-30 14:30:00+00:00,train
2730550,2026-06-30 14:30:00+00:00,train
2730555,2026-06-30 14:30:00+00:00,train
2730557,2026-06-30 14:30:00+00:00,train
2730625,2026-06-30 14:45:00+00:00,train
2730622,2026-06-30 14:45:00+00:00,train
2730618,2026-06-30 14:45:00+00:00,train
2730620,2026-06-30 14:45:00+00:00,train
2730621,2026-06-30 14:45:00+00:00,train
2730730,2026-06-30 15:00:00+00:00,train
2730731,2026-06-30 15:00:00+00:00,train
2730733,2026-06-30 15:00:00+00:00,train
2730734,2026-06-30 15:00:00+00:00,train
2730735,2026-06-30 15:00:00+00:00,train
2730842,2026-06-30 15:15:00+00:00,train
2730843,2026-06-30 15:15:00+00:00,train
2730845,2026-06-30 15:15:00+00:00,train
2730847,2026-06-30 15:15:00+00:00,train
2730851,2026-06-30 15:15:00+00:00,train
2730888,2026-06-30 15:30:00+00:00,train
2730887,2026-06-30 15:30:00+00:00,train
2730878,2026-06-30 15:30:00+00:00,train
2730881,2026-06-30 15:30:00+00:00,train
2730882,2026-06-30 15:30:00+00:00,train
2731034,2026-06-30 15:45:00+00:00,train
2731037,2026-06-30 15:45:00+00:00,train
2731041,2026-06-30 15:45:00+00:00,train
2731042,2026-06-30 15:45:00+00:00,train
2731045,2026-06-30 15:45:00+00:00,train
2731183,2026-06-30 16:00:00+00:00,train
2731185,2026-06-30 16:00:00+00:00,train
2731189,2026-06-30 16:00:00+00:00,train
2731190,2026-06-30 16:00:00+00:00,train
2731192,2026-06-30 16:00:00+00:00,train
2732096,2026-06-30 16:15:00+00:00,train
2732097,2026-06-30 16:15:00+00:00,train
2732084,2026-06-30 16:15:00+00:00,train
2732079,2026-06-30 16:15:00+00:00,train
2732081,2026-06-30 16:15:00+00:00,train
2732117,2026-06-30 16:30:00+00:00,train
2732118,2026-06-30 16:30:00+00:00,train
2732119,2026-06-30 16:30:00+00:00,train
2732127,2026-06-30 16:30:00+00:00,train
2732129,2026-06-30 16:30:00+00:00,train
2732274,2026-06-30 16:45:00+00:00,train
2732276,2026-06-30 16:45:00+00:00,train
2732278,2026-06-30 16:45:00+00:00,train
2732280,2026-06-30 16:45:00+00:00,train
2732284,2026-06-30 16:45:00+00:00,train
2732523,2026-06-30 17:00:00+00:00,train
2732521,2026-06-30 17:00:00+00:00,train
2732519,2026-06-30 17:00:00+00:00,train
2732513,2026-06-30 17:00:00+00:00,train
2732514,2026-06-30 17:00:00+00:00,train
2733096,2026-06-30 17:15:00+00:00,train
2733101,2026-06-30 17:15:00+00:00,train
2733102,2026-06-30 17:15:00+00:00,train
2733103,2026-06-30 17:15:00+00:00,train
2733104,2026-06-30 17:15:00+00:00,train
2733162,2026-06-30 17:30:00+00:00,train
2733163,2026-06-30 17:30:00+00:00,train
2733164,2026-06-30 17:30:00+00:00,train
2733169,2026-06-30 17:30:00+00:00,train
2733170,2026-06-30 17:30:00+00:00,train
2733201,2026-06-30 17:45:00+00:00,train
2733200,2026-06-30 17:45:00+00:00,train
2733191,2026-06-30 17:45:00+00:00,train
2733195,2026-06-30 17:45:00+00:00,train
2733196,2026-06-30 17:45:00+00:00,train
2733384,2026-06-30 18:00:00+00:00,train
2733387,2026-06-30 18:00:00+00:00,train
2733392,2026-06-30 18:00:00+00:00,train
2733394,2026-06-30 18:00:00+00:00,train
2733396,2026-06-30 18:00:00+00:00,train
2733615,2026-06-30 18:15:00+00:00,train
2733618,2026-06-30 18:15:00+00:00,train
2733621,2026-06-30 18:15:00+00:00,train
2733622,2026-06-30 18:15:00+00:00,train
2733626,2026-06-30 18:15:00+00:00,train
2733655,2026-06-30 18:30:00+00:00,train
2733653,2026-06-30 18:30:00+00:00,train
2733652,2026-06-30 18:30:00+00:00,train
2733650,2026-06-30 18:30:00+00:00,train
2733649,2026-06-30 18:30:00+00:00,train
2733703,2026-06-30 18:45:00+00:00,train
2733704,2026-06-30 18:45:00+00:00,train
2733708,2026-06-30 18:45:00+00:00,train
2733710,2026-06-30 18:45:00+00:00,train
2733715,2026-06-30 18:45:00+00:00,train
2733775,2026-06-30 19:00:00+00:00,train
2733776,2026-06-30 19:00:00+00:00,train
2733778,2026-06-30 19:00:00+00:00,train
2733779,2026-06-30 19:00:00+00:00,train
2733787,2026-06-30 19:00:00+00:00,train
2734306,2026-06-30 19:15:00+00:00,train
2734304,2026-06-30 19:15:00+00:00,train
2734302,2026-06-30 19:15:00+00:00,train
2734297,2026-06-30 19:15:00+00:00,train
2734300,2026-06-30 19:15:00+00:00,train
2734386,2026-06-30 19:30:00+00:00,train
2734388,2026-06-30 19:30:00+00:00,train
2734393,2026-06-30 19:30:00+00:00,train
2734394,2026-06-30 19:30:00+00:00,train
2734395,2026-06-30 19:30:00+00:00,train
2734604,2026-06-30 19:45:00+00:00,train
2734611,2026-06-30 19:45:00+00:00,train
2734616,2026-06-30 19:45:00+00:00,train
2734617,2026-06-30 19:45:00+00:00,train
2734618,2026-06-30 19:45:00+00:00,train
2735224,2026-06-30 20:00:00+00:00,train
2735222,2026-06-30 20:00:00+00:00,train
2735218,2026-06-30 20:00:00+00:00,train
2735212,2026-06-30 20:00:00+00:00,train
2735220,2026-06-30 20:00:00+00:00,train
2735278,2026-06-30 20:15:00+00:00,train
2735284,2026-06-30 20:15:00+00:00,train
2735287,2026-06-30 20:15:00+00:00,train
2735289,2026-06-30 20:15:00+00:00,train
2735291,2026-06-30 20:15:00+00:00,train
2735349,2026-06-30 20:30:00+00:00,train
2735352,2026-06-30 20:30:00+00:00,train
2735353,2026-06-30 20:30:00+00:00,train
2735358,2026-06-30 20:30:00+00:00,train
2735359,2026-06-30 20:30:00+00:00,train
2735406,2026-06-30 20:45:00+00:00,train
